Experiment;Planet;Situation;Biome;id
asteroidSample;Dres;SrfLanded;Canyons;asteroidSample@DresSrfLandedCanyons
asteroidSample;Dres;SrfLanded;Highlands;asteroidSample@DresSrfLandedHighlands
asteroidSample;Dres;SrfLanded;ImpactCraters;asteroidSample@DresSrfLandedImpactCraters
asteroidSample;Dres;SrfLanded;ImpactEjecta;asteroidSample@DresSrfLandedImpactEjecta
asteroidSample;Dres;SrfLanded;Lowlands;asteroidSample@DresSrfLandedLowlands
asteroidSample;Dres;SrfLanded;Midlands;asteroidSample@DresSrfLandedMidlands
asteroidSample;Dres;SrfLanded;Poles;asteroidSample@DresSrfLandedPoles
asteroidSample;Dres;SrfLanded;Ridges;asteroidSample@DresSrfLandedRidges
barometerScan;Dres;InSpaceHigh;;barometerScan@DresInSpaceHigh
barometerScan;Dres;InSpaceLow;;barometerScan@DresInSpaceLow
barometerScan;Dres;SrfLanded;Canyons;barometerScan@DresSrfLandedCanyons
barometerScan;Dres;SrfLanded;Highlands;barometerScan@DresSrfLandedHighlands
barometerScan;Dres;SrfLanded;ImpactCraters;barometerScan@DresSrfLandedImpactCraters
barometerScan;Dres;SrfLanded;ImpactEjecta;barometerScan@DresSrfLandedImpactEjecta
barometerScan;Dres;SrfLanded;Lowlands;barometerScan@DresSrfLandedLowlands
barometerScan;Dres;SrfLanded;Midlands;barometerScan@DresSrfLandedMidlands
barometerScan;Dres;SrfLanded;Poles;barometerScan@DresSrfLandedPoles
barometerScan;Dres;SrfLanded;Ridges;barometerScan@DresSrfLandedRidges
cometSample;Dres;InSpaceHigh;;cometSample@DresInSpaceHigh
cometSample;Dres;InSpaceLow;;cometSample@DresInSpaceLow
cometSample;Dres;SrfLanded;Canyons;cometSample@DresSrfLandedCanyons
cometSample;Dres;SrfLanded;Highlands;cometSample@DresSrfLandedHighlands
cometSample;Dres;SrfLanded;ImpactCraters;cometSample@DresSrfLandedImpactCraters
cometSample;Dres;SrfLanded;ImpactEjecta;cometSample@DresSrfLandedImpactEjecta
cometSample;Dres;SrfLanded;Lowlands;cometSample@DresSrfLandedLowlands
cometSample;Dres;SrfLanded;Midlands;cometSample@DresSrfLandedMidlands
cometSample;Dres;SrfLanded;Poles;cometSample@DresSrfLandedPoles
cometSample;Dres;SrfLanded;Ridges;cometSample@DresSrfLandedRidges
crewReport;Dres;InSpaceHigh;;crewReport@DresInSpaceHigh
crewReport;Dres;InSpaceLow;;crewReport@DresInSpaceLow
crewReport;Dres;SrfLanded;Canyons;crewReport@DresSrfLandedCanyons
crewReport;Dres;SrfLanded;Highlands;crewReport@DresSrfLandedHighlands
crewReport;Dres;SrfLanded;ImpactCraters;crewReport@DresSrfLandedImpactCraters
crewReport;Dres;SrfLanded;ImpactEjecta;crewReport@DresSrfLandedImpactEjecta
crewReport;Dres;SrfLanded;Lowlands;crewReport@DresSrfLandedLowlands
crewReport;Dres;SrfLanded;Midlands;crewReport@DresSrfLandedMidlands
crewReport;Dres;SrfLanded;Poles;crewReport@DresSrfLandedPoles
crewReport;Dres;SrfLanded;Ridges;crewReport@DresSrfLandedRidges
evaReport;Dres;InSpaceHigh;;evaReport@DresInSpaceHigh
evaReport;Dres;InSpaceLow;Canyons;evaReport@DresInSpaceLowCanyons
evaReport;Dres;InSpaceLow;Highlands;evaReport@DresInSpaceLowHighlands
evaReport;Dres;InSpaceLow;ImpactCraters;evaReport@DresInSpaceLowImpactCraters
evaReport;Dres;InSpaceLow;ImpactEjecta;evaReport@DresInSpaceLowImpactEjecta
evaReport;Dres;InSpaceLow;Lowlands;evaReport@DresInSpaceLowLowlands
evaReport;Dres;InSpaceLow;Midlands;evaReport@DresInSpaceLowMidlands
evaReport;Dres;InSpaceLow;Poles;evaReport@DresInSpaceLowPoles
evaReport;Dres;InSpaceLow;Ridges;evaReport@DresInSpaceLowRidges
evaReport;Dres;SrfLanded;Canyons;evaReport@DresSrfLandedCanyons
evaReport;Dres;SrfLanded;Highlands;evaReport@DresSrfLandedHighlands
evaReport;Dres;SrfLanded;ImpactCraters;evaReport@DresSrfLandedImpactCraters
evaReport;Dres;SrfLanded;ImpactEjecta;evaReport@DresSrfLandedImpactEjecta
evaReport;Dres;SrfLanded;Lowlands;evaReport@DresSrfLandedLowlands
evaReport;Dres;SrfLanded;Midlands;evaReport@DresSrfLandedMidlands
evaReport;Dres;SrfLanded;Poles;evaReport@DresSrfLandedPoles
evaReport;Dres;SrfLanded;Ridges;evaReport@DresSrfLandedRidges
evaScience;Dres;InSpaceHigh;;evaScience@DresInSpaceHigh
evaScience;Dres;InSpaceLow;;evaScience@DresInSpaceLow
evaScience;Dres;SrfLanded;;evaScience@DresSrfLanded
gravityScan;Dres;InSpaceHigh;Canyons;gravityScan@DresInSpaceHighCanyons
gravityScan;Dres;InSpaceHigh;Highlands;gravityScan@DresInSpaceHighHighlands
gravityScan;Dres;InSpaceHigh;ImpactCraters;gravityScan@DresInSpaceHighImpactCraters
gravityScan;Dres;InSpaceHigh;ImpactEjecta;gravityScan@DresInSpaceHighImpactEjecta
gravityScan;Dres;InSpaceHigh;Lowlands;gravityScan@DresInSpaceHighLowlands
gravityScan;Dres;InSpaceHigh;Midlands;gravityScan@DresInSpaceHighMidlands
gravityScan;Dres;InSpaceHigh;Poles;gravityScan@DresInSpaceHighPoles
gravityScan;Dres;InSpaceHigh;Ridges;gravityScan@DresInSpaceHighRidges
gravityScan;Dres;InSpaceLow;Canyons;gravityScan@DresInSpaceLowCanyons
gravityScan;Dres;InSpaceLow;Highlands;gravityScan@DresInSpaceLowHighlands
gravityScan;Dres;InSpaceLow;ImpactCraters;gravityScan@DresInSpaceLowImpactCraters
gravityScan;Dres;InSpaceLow;ImpactEjecta;gravityScan@DresInSpaceLowImpactEjecta
gravityScan;Dres;InSpaceLow;Lowlands;gravityScan@DresInSpaceLowLowlands
gravityScan;Dres;InSpaceLow;Midlands;gravityScan@DresInSpaceLowMidlands
gravityScan;Dres;InSpaceLow;Poles;gravityScan@DresInSpaceLowPoles
gravityScan;Dres;InSpaceLow;Ridges;gravityScan@DresInSpaceLowRidges
gravityScan;Dres;SrfLanded;Canyons;gravityScan@DresSrfLandedCanyons
gravityScan;Dres;SrfLanded;Highlands;gravityScan@DresSrfLandedHighlands
gravityScan;Dres;SrfLanded;ImpactCraters;gravityScan@DresSrfLandedImpactCraters
gravityScan;Dres;SrfLanded;ImpactEjecta;gravityScan@DresSrfLandedImpactEjecta
gravityScan;Dres;SrfLanded;Lowlands;gravityScan@DresSrfLandedLowlands
gravityScan;Dres;SrfLanded;Midlands;gravityScan@DresSrfLandedMidlands
gravityScan;Dres;SrfLanded;Poles;gravityScan@DresSrfLandedPoles
gravityScan;Dres;SrfLanded;Ridges;gravityScan@DresSrfLandedRidges
infraredTelescope;Dres;InSpaceHigh;;infraredTelescope@DresInSpaceHigh
magnetometer;Dres;InSpaceHigh;;magnetometer@DresInSpaceHigh
magnetometer;Dres;InSpaceLow;;magnetometer@DresInSpaceLow
mobileMaterialsLab;Dres;InSpaceHigh;;mobileMaterialsLab@DresInSpaceHigh
mobileMaterialsLab;Dres;InSpaceLow;;mobileMaterialsLab@DresInSpaceLow
mobileMaterialsLab;Dres;SrfLanded;Canyons;mobileMaterialsLab@DresSrfLandedCanyons
mobileMaterialsLab;Dres;SrfLanded;Highlands;mobileMaterialsLab@DresSrfLandedHighlands
mobileMaterialsLab;Dres;SrfLanded;ImpactCraters;mobileMaterialsLab@DresSrfLandedImpactCraters
mobileMaterialsLab;Dres;SrfLanded;ImpactEjecta;mobileMaterialsLab@DresSrfLandedImpactEjecta
mobileMaterialsLab;Dres;SrfLanded;Lowlands;mobileMaterialsLab@DresSrfLandedLowlands
mobileMaterialsLab;Dres;SrfLanded;Midlands;mobileMaterialsLab@DresSrfLandedMidlands
mobileMaterialsLab;Dres;SrfLanded;Poles;mobileMaterialsLab@DresSrfLandedPoles
mobileMaterialsLab;Dres;SrfLanded;Ridges;mobileMaterialsLab@DresSrfLandedRidges
mysteryGoo;Dres;InSpaceHigh;;mysteryGoo@DresInSpaceHigh
mysteryGoo;Dres;InSpaceLow;;mysteryGoo@DresInSpaceLow
mysteryGoo;Dres;SrfLanded;Canyons;mysteryGoo@DresSrfLandedCanyons
mysteryGoo;Dres;SrfLanded;Highlands;mysteryGoo@DresSrfLandedHighlands
mysteryGoo;Dres;SrfLanded;ImpactCraters;mysteryGoo@DresSrfLandedImpactCraters
mysteryGoo;Dres;SrfLanded;ImpactEjecta;mysteryGoo@DresSrfLandedImpactEjecta
mysteryGoo;Dres;SrfLanded;Lowlands;mysteryGoo@DresSrfLandedLowlands
mysteryGoo;Dres;SrfLanded;Midlands;mysteryGoo@DresSrfLandedMidlands
mysteryGoo;Dres;SrfLanded;Poles;mysteryGoo@DresSrfLandedPoles
mysteryGoo;Dres;SrfLanded;Ridges;mysteryGoo@DresSrfLandedRidges
recovery;Dres;FlewBy;;recovery@DresFlewBy
recovery;Dres;Orbited;;recovery@DresOrbited
recovery;Dres;SubOrbited;;recovery@DresSubOrbited
recovery;Dres;Surfaced;;recovery@DresSurfaced
seismicScan;Dres;SrfLanded;Canyons;seismicScan@DresSrfLandedCanyons
seismicScan;Dres;SrfLanded;Highlands;seismicScan@DresSrfLandedHighlands
seismicScan;Dres;SrfLanded;ImpactCraters;seismicScan@DresSrfLandedImpactCraters
seismicScan;Dres;SrfLanded;ImpactEjecta;seismicScan@DresSrfLandedImpactEjecta
seismicScan;Dres;SrfLanded;Lowlands;seismicScan@DresSrfLandedLowlands
seismicScan;Dres;SrfLanded;Midlands;seismicScan@DresSrfLandedMidlands
seismicScan;Dres;SrfLanded;Poles;seismicScan@DresSrfLandedPoles
seismicScan;Dres;SrfLanded;Ridges;seismicScan@DresSrfLandedRidges
surfaceSample;Dres;SrfLanded;Canyons;surfaceSample@DresSrfLandedCanyons
surfaceSample;Dres;SrfLanded;Highlands;surfaceSample@DresSrfLandedHighlands
surfaceSample;Dres;SrfLanded;ImpactCraters;surfaceSample@DresSrfLandedImpactCraters
surfaceSample;Dres;SrfLanded;ImpactEjecta;surfaceSample@DresSrfLandedImpactEjecta
surfaceSample;Dres;SrfLanded;Lowlands;surfaceSample@DresSrfLandedLowlands
surfaceSample;Dres;SrfLanded;Midlands;surfaceSample@DresSrfLandedMidlands
surfaceSample;Dres;SrfLanded;Poles;surfaceSample@DresSrfLandedPoles
surfaceSample;Dres;SrfLanded;Ridges;surfaceSample@DresSrfLandedRidges
temperatureScan;Dres;InSpaceHigh;;temperatureScan@DresInSpaceHigh
temperatureScan;Dres;InSpaceLow;;temperatureScan@DresInSpaceLow
temperatureScan;Dres;SrfLanded;Canyons;temperatureScan@DresSrfLandedCanyons
temperatureScan;Dres;SrfLanded;Highlands;temperatureScan@DresSrfLandedHighlands
temperatureScan;Dres;SrfLanded;ImpactCraters;temperatureScan@DresSrfLandedImpactCraters
temperatureScan;Dres;SrfLanded;ImpactEjecta;temperatureScan@DresSrfLandedImpactEjecta
temperatureScan;Dres;SrfLanded;Lowlands;temperatureScan@DresSrfLandedLowlands
temperatureScan;Dres;SrfLanded;Midlands;temperatureScan@DresSrfLandedMidlands
temperatureScan;Dres;SrfLanded;Poles;temperatureScan@DresSrfLandedPoles
temperatureScan;Dres;SrfLanded;Ridges;temperatureScan@DresSrfLandedRidges
asteroidSample;Duna;FlyingHigh;;asteroidSample@DunaFlyingHigh
asteroidSample;Duna;FlyingLow;Craters;asteroidSample@DunaFlyingLowCraters
asteroidSample;Duna;FlyingLow;Highlands;asteroidSample@DunaFlyingLowHighlands
asteroidSample;Duna;FlyingLow;Lowlands;asteroidSample@DunaFlyingLowLowlands
asteroidSample;Duna;FlyingLow;Midlands;asteroidSample@DunaFlyingLowMidlands
asteroidSample;Duna;FlyingLow;Poles;asteroidSample@DunaFlyingLowPoles
asteroidSample;Duna;InSpaceHigh;;asteroidSample@DunaInSpaceHigh
asteroidSample;Duna;InSpaceLow;;asteroidSample@DunaInSpaceLow
asteroidSample;Duna;SrfLanded;Craters;asteroidSample@DunaSrfLandedCraters
asteroidSample;Duna;SrfLanded;Highlands;asteroidSample@DunaSrfLandedHighlands
asteroidSample;Duna;SrfLanded;Lowlands;asteroidSample@DunaSrfLandedLowlands
asteroidSample;Duna;SrfLanded;Midlands;asteroidSample@DunaSrfLandedMidlands
asteroidSample;Duna;SrfLanded;Poles;asteroidSample@DunaSrfLandedPoles
atmosphereAnalysis;Duna;FlyingHigh;Craters;atmosphereAnalysis@DunaFlyingHighCraters
atmosphereAnalysis;Duna;FlyingHigh;Highlands;atmosphereAnalysis@DunaFlyingHighHighlands
atmosphereAnalysis;Duna;FlyingHigh;Lowlands;atmosphereAnalysis@DunaFlyingHighLowlands
atmosphereAnalysis;Duna;FlyingHigh;Midlands;atmosphereAnalysis@DunaFlyingHighMidlands
atmosphereAnalysis;Duna;FlyingHigh;Poles;atmosphereAnalysis@DunaFlyingHighPoles
atmosphereAnalysis;Duna;FlyingLow;Craters;atmosphereAnalysis@DunaFlyingLowCraters
atmosphereAnalysis;Duna;FlyingLow;Highlands;atmosphereAnalysis@DunaFlyingLowHighlands
atmosphereAnalysis;Duna;FlyingLow;Lowlands;atmosphereAnalysis@DunaFlyingLowLowlands
atmosphereAnalysis;Duna;FlyingLow;Midlands;atmosphereAnalysis@DunaFlyingLowMidlands
atmosphereAnalysis;Duna;FlyingLow;Poles;atmosphereAnalysis@DunaFlyingLowPoles
atmosphereAnalysis;Duna;SrfLanded;Craters;atmosphereAnalysis@DunaSrfLandedCraters
atmosphereAnalysis;Duna;SrfLanded;Highlands;atmosphereAnalysis@DunaSrfLandedHighlands
atmosphereAnalysis;Duna;SrfLanded;Lowlands;atmosphereAnalysis@DunaSrfLandedLowlands
atmosphereAnalysis;Duna;SrfLanded;Midlands;atmosphereAnalysis@DunaSrfLandedMidlands
atmosphereAnalysis;Duna;SrfLanded;Poles;atmosphereAnalysis@DunaSrfLandedPoles
barometerScan;Duna;FlyingHigh;;barometerScan@DunaFlyingHigh
barometerScan;Duna;FlyingLow;;barometerScan@DunaFlyingLow
barometerScan;Duna;InSpaceHigh;;barometerScan@DunaInSpaceHigh
barometerScan;Duna;InSpaceLow;;barometerScan@DunaInSpaceLow
barometerScan;Duna;SrfLanded;Craters;barometerScan@DunaSrfLandedCraters
barometerScan;Duna;SrfLanded;Highlands;barometerScan@DunaSrfLandedHighlands
barometerScan;Duna;SrfLanded;Lowlands;barometerScan@DunaSrfLandedLowlands
barometerScan;Duna;SrfLanded;Midlands;barometerScan@DunaSrfLandedMidlands
barometerScan;Duna;SrfLanded;Poles;barometerScan@DunaSrfLandedPoles
cometSample;Duna;FlyingHigh;;cometSample@DunaFlyingHigh
cometSample;Duna;FlyingLow;Craters;cometSample@DunaFlyingLowCraters
cometSample;Duna;FlyingLow;Highlands;cometSample@DunaFlyingLowHighlands
cometSample;Duna;FlyingLow;Lowlands;cometSample@DunaFlyingLowLowlands
cometSample;Duna;FlyingLow;Midlands;cometSample@DunaFlyingLowMidlands
cometSample;Duna;FlyingLow;Poles;cometSample@DunaFlyingLowPoles
cometSample;Duna;InSpaceHigh;;cometSample@DunaInSpaceHigh
cometSample;Duna;InSpaceLow;;cometSample@DunaInSpaceLow
cometSample;Duna;SrfLanded;Craters;cometSample@DunaSrfLandedCraters
cometSample;Duna;SrfLanded;Highlands;cometSample@DunaSrfLandedHighlands
cometSample;Duna;SrfLanded;Lowlands;cometSample@DunaSrfLandedLowlands
cometSample;Duna;SrfLanded;Midlands;cometSample@DunaSrfLandedMidlands
cometSample;Duna;SrfLanded;Poles;cometSample@DunaSrfLandedPoles
crewReport;Duna;FlyingHigh;;crewReport@DunaFlyingHigh
crewReport;Duna;FlyingLow;Craters;crewReport@DunaFlyingLowCraters
crewReport;Duna;FlyingLow;Highlands;crewReport@DunaFlyingLowHighlands
crewReport;Duna;FlyingLow;Lowlands;crewReport@DunaFlyingLowLowlands
crewReport;Duna;FlyingLow;Midlands;crewReport@DunaFlyingLowMidlands
crewReport;Duna;FlyingLow;Poles;crewReport@DunaFlyingLowPoles
crewReport;Duna;InSpaceHigh;;crewReport@DunaInSpaceHigh
crewReport;Duna;InSpaceLow;;crewReport@DunaInSpaceLow
crewReport;Duna;SrfLanded;Craters;crewReport@DunaSrfLandedCraters
crewReport;Duna;SrfLanded;Highlands;crewReport@DunaSrfLandedHighlands
crewReport;Duna;SrfLanded;Lowlands;crewReport@DunaSrfLandedLowlands
crewReport;Duna;SrfLanded;Midlands;crewReport@DunaSrfLandedMidlands
crewReport;Duna;SrfLanded;Poles;crewReport@DunaSrfLandedPoles
evaReport;Duna;FlyingHigh;;evaReport@DunaFlyingHigh
evaReport;Duna;FlyingLow;Craters;evaReport@DunaFlyingLowCraters
evaReport;Duna;FlyingLow;Highlands;evaReport@DunaFlyingLowHighlands
evaReport;Duna;FlyingLow;Lowlands;evaReport@DunaFlyingLowLowlands
evaReport;Duna;FlyingLow;Midlands;evaReport@DunaFlyingLowMidlands
evaReport;Duna;FlyingLow;Poles;evaReport@DunaFlyingLowPoles
evaReport;Duna;InSpaceHigh;;evaReport@DunaInSpaceHigh
evaReport;Duna;InSpaceLow;Craters;evaReport@DunaInSpaceLowCraters
evaReport;Duna;InSpaceLow;Highlands;evaReport@DunaInSpaceLowHighlands
evaReport;Duna;InSpaceLow;Lowlands;evaReport@DunaInSpaceLowLowlands
evaReport;Duna;InSpaceLow;Midlands;evaReport@DunaInSpaceLowMidlands
evaReport;Duna;InSpaceLow;Poles;evaReport@DunaInSpaceLowPoles
evaReport;Duna;SrfLanded;Craters;evaReport@DunaSrfLandedCraters
evaReport;Duna;SrfLanded;Highlands;evaReport@DunaSrfLandedHighlands
evaReport;Duna;SrfLanded;Lowlands;evaReport@DunaSrfLandedLowlands
evaReport;Duna;SrfLanded;Midlands;evaReport@DunaSrfLandedMidlands
evaReport;Duna;SrfLanded;Poles;evaReport@DunaSrfLandedPoles
evaScience;Duna;FlyingHigh;;evaScience@DunaFlyingHigh
evaScience;Duna;FlyingLow;;evaScience@DunaFlyingLow
evaScience;Duna;InSpaceHigh;;evaScience@DunaInSpaceHigh
evaScience;Duna;InSpaceLow;;evaScience@DunaInSpaceLow
evaScience;Duna;SrfLanded;;evaScience@DunaSrfLanded
gravityScan;Duna;InSpaceHigh;Craters;gravityScan@DunaInSpaceHighCraters
gravityScan;Duna;InSpaceHigh;Highlands;gravityScan@DunaInSpaceHighHighlands
gravityScan;Duna;InSpaceHigh;Lowlands;gravityScan@DunaInSpaceHighLowlands
gravityScan;Duna;InSpaceHigh;Midlands;gravityScan@DunaInSpaceHighMidlands
gravityScan;Duna;InSpaceHigh;Poles;gravityScan@DunaInSpaceHighPoles
gravityScan;Duna;InSpaceLow;Craters;gravityScan@DunaInSpaceLowCraters
gravityScan;Duna;InSpaceLow;Highlands;gravityScan@DunaInSpaceLowHighlands
gravityScan;Duna;InSpaceLow;Lowlands;gravityScan@DunaInSpaceLowLowlands
gravityScan;Duna;InSpaceLow;Midlands;gravityScan@DunaInSpaceLowMidlands
gravityScan;Duna;InSpaceLow;Poles;gravityScan@DunaInSpaceLowPoles
gravityScan;Duna;SrfLanded;Craters;gravityScan@DunaSrfLandedCraters
gravityScan;Duna;SrfLanded;Highlands;gravityScan@DunaSrfLandedHighlands
gravityScan;Duna;SrfLanded;Lowlands;gravityScan@DunaSrfLandedLowlands
gravityScan;Duna;SrfLanded;Midlands;gravityScan@DunaSrfLandedMidlands
gravityScan;Duna;SrfLanded;Poles;gravityScan@DunaSrfLandedPoles
infraredTelescope;Duna;InSpaceHigh;;infraredTelescope@DunaInSpaceHigh
magnetometer;Duna;InSpaceHigh;;magnetometer@DunaInSpaceHigh
magnetometer;Duna;InSpaceLow;;magnetometer@DunaInSpaceLow
mobileMaterialsLab;Duna;FlyingHigh;;mobileMaterialsLab@DunaFlyingHigh
mobileMaterialsLab;Duna;FlyingLow;;mobileMaterialsLab@DunaFlyingLow
mobileMaterialsLab;Duna;InSpaceHigh;;mobileMaterialsLab@DunaInSpaceHigh
